row_index,borrower_id,feature,rank,shap_value,absolute_shap,direction,feature_value
48893,48894,credit_history_months,8,-0.14157022535800934,0.14157022535800934,decreases_risk,55.0
48893,48894,gold_loans,9,0.05767718702554703,0.05767718702554703,increases_risk,6
48893,48894,age,10,0.05277549847960472,0.05277549847960472,increases_risk,32
38153,38154,delinquency_score,1,1.5444622039794922,1.5444622039794922,increases_risk,7
38153,38154,recent_enquiries_6m,2,-1.5057477951049805,1.5057477951049805,decreases_risk,0.0
38153,38154,active_loan_ratio,3,0.4804108440876007,0.4804108440876007,increases_risk,0.0
38153,38154,num_times_delinquent,4,0.375745952129364,0.375745952129364,increases_risk,2
38153,38154,credit_history_months,5,0.2674092650413513,0.2674092650413513,increases_risk,41.0
38153,38154,active_loans,6,0.23600232601165771,0.23600232601165771,increases_risk,0
38153,38154,secured_loans,7,-0.21213822066783905,0.21213822066783905,decreases_risk,4
38153,38154,recent_enquiries_12m,8,-0.13096603751182556,0.13096603751182556,decreases_risk,0.0
38153,38154,gold_loans,9,-0.09889675676822662,0.09889675676822662,decreases_risk,0
38153,38154,closed_loans,10,-0.04610160365700722,0.04610160365700722,decreases_risk,4
49248,49249,recent_enquiries_6m,1,-1.4364285469055176,1.4364285469055176,decreases_risk,0.0
49248,49249,delinquency_score,2,1.0065534114837646,1.0065534114837646,increases_risk,2
49248,49249,num_times_delinquent,3,0.3495346009731293,0.3495346009731293,increases_risk,1
49248,49249,credit_history_months,4,0.2573699653148651,0.2573699653148651,increases_risk,45.0
49248,49249,active_loans,5,0.20385536551475525,0.20385536551475525,increases_risk,1
49248,49249,active_loan_ratio,6,-0.16563162207603455,0.16563162207603455,decreases_risk,0.5
49248,49249,recent_enquiries_12m,7,-0.1609015166759491,0.1609015166759491,decreases_risk,0.0
49248,49249,auto_loans,8,-0.0556783489882946,0.0556783489882946,decreases_risk,2
49248,49249,age,9,-0.04884995520114899,0.04884995520114899,decreases_risk,39
49248,49249,num_times_60p_dpd,10,-0.04845767468214035,0.04845767468214035,decreases_risk,0
19389,19390,delinquency_score,1,-0.5335851907730103,0.5335851907730103,decreases_risk,0
19389,19390,recent_enquiries_6m,2,0.49966347217559814,0.49966347217559814,increases_risk,2.0
19389,19390,credit_history_months,3,0.30370309948921204,0.30370309948921204,increases_risk,20.0
19389,19390,secured_loans,4,0.26823410391807556,0.26823410391807556,increases_risk,0
19389,19390,recent_enquiries_12m,5,0.22553695738315582,0.22553695738315582,increases_risk,5.0
19389,19390,active_loans,6,-0.17851823568344116,0.17851823568344116,decreases_risk,3
19389,19390,active_loan_ratio,7,-0.11068163067102432,0.11068163067102432,decreases_risk,0.75
19389,19390,num_times_delinquent,8,-0.06789145618677139,0.06789145618677139,decreases_risk,0
19389,19390,num_times_60p_dpd,9,-0.056429654359817505,0.056429654359817505,decreases_risk,0
19389,19390,closed_loans,10,0.028501756489276886,0.028501756489276886,increases_risk,1
44473,44474,delinquency_score,1,-0.6882544159889221,0.6882544159889221,decreases_risk,0
44473,44474,recent_enquiries_6m,2,-0.6219983100891113,0.6219983100891113,decreases_risk,nan
44473,44474,credit_history_months,3,0.3381042778491974,0.3381042778491974,increases_risk,14.0
44473,44474,recent_enquiries_12m,4,-0.3284676671028137,0.3284676671028137,decreases_risk,nan
44473,44474,total_enquiries,5,-0.19512763619422913,0.19512763619422913,decreases_risk,nan
44473,44474,active_loans,6,0.10666633397340775,0.10666633397340775,increases_risk,1
44473,44474,num_times_delinquent,7,-0.0884961485862732,0.0884961485862732,decreases_risk,0
44473,44474,num_times_60p_dpd,8,-0.05358760803937912,0.05358760803937912,decreases_risk,0
44473,44474,closed_loans,9,0.026233064010739326,0.026233064010739326,increases_risk,0
44473,44474,loan_type_diversity,10,0.024067258462309837,0.024067258462309837,increases_risk,1
41118,41119,delinquency_score,1,1.0461066961288452,1.0461066961288452,increases_risk,2
41118,41119,recent_enquiries_6m,2,0.4603569805622101,0.4603569805622101,increases_risk,2.0
41118,41119,credit_history_months,3,0.39880868792533875,0.39880868792533875,increases_risk,26.0
41118,41119,num_times_delinquent,4,0.3930204212665558,0.3930204212665558,increases_risk,1
41118,41119,active_loans,5,0.256745308637619,0.256745308637619,increases_risk,1
41118,41119,recent_enquiries_12m,6,-0.12446586787700653,0.12446586787700653,decreases_risk,2.0
41118,41119,active_loan_ratio,7,-0.07421281933784485,0.07421281933784485,decreases_risk,0.3333333333333333
41118,41119,gold_loans,8,-0.07044147700071335,0.07044147700071335,decreases_risk,2
41118,41119,num_times_60p_dpd,9,-0.05753076821565628,0.05753076821565628,decreases_risk,0
41118,41119,total_enquiries,10,-0.04130498319864273,0.04130498319864273,decreases_risk,3.0
18949,18950,delinquency_score,1,-0.6014900207519531,0.6014900207519531,decreases_risk,0
18949,18950,credit_history_months,2,0.40033987164497375,0.40033987164497375,increases_risk,9.0
18949,18950,recent_enquiries_6m,3,-0.33527225255966187,0.33527225255966187,decreases_risk,1.0
18949,18950,total_enquiries,4,0.2662033438682556,0.2662033438682556,increases_risk,2.0
18949,18950,recent_enquiries_12m,5,-0.1985342651605606,0.1985342651605606,decreases_risk,2.0
18949,18950,secured_loans,6,-0.12997427582740784,0.12997427582740784,decreases_risk,2
18949,18950,num_times_delinquent,7,-0.08639106154441833,0.08639106154441833,decreases_risk,0
18949,18950,num_times_60p_dpd,8,-0.0520564466714859,0.0520564466714859,decreases_risk,0
18949,18950,missed_payment_ratio,9,0.04584912955760956,0.04584912955760956,increases_risk,0.5
18949,18950,loan_type_diversity,10,0.028735240921378136,0.028735240921378136,increases_risk,1
4613,4614,delinquency_score,1,-0.6798345446586609,0.6798345446586609,decreases_risk,0
4613,4614,credit_history_months,2,-0.45841288566589355,0.45841288566589355,decreases_risk,58.0
4613,4614,recent_enquiries_6m,3,0.3706953227519989,0.3706953227519989,increases_risk,2.0
4613,4614,secured_loans,4,0.2265852987766266,0.2265852987766266,increases_risk,0
4613,4614,active_loans,5,0.1842709481716156,0.1842709481716156,increases_risk,1
4613,4614,recent_enquiries_12m,6,-0.12649227678775787,0.12649227678775787,decreases_risk,2.0
4613,4614,closed_loans,7,-0.09642542153596878,0.09642542153596878,decreases_risk,6
4613,4614,num_times_delinquent,8,-0.055569328367710114,0.055569328367710114,decreases_risk,0
4613,4614,num_times_60p_dpd,9,-0.04609160125255585,0.04609160125255585,decreases_risk,0
4613,4614,personal_loans,10,0.04347044602036476,0.04347044602036476,increases_risk,1
8481,8482,recent_enquiries_6m,1,-1.585399866104126,1.585399866104126,decreases_risk,0.0
8481,8482,delinquency_score,2,1.0919159650802612,1.0919159650802612,increases_risk,4
8481,8482,num_times_delinquent,3,0.3077307641506195,0.3077307641506195,increases_risk,2
8481,8482,credit_history_months,4,0.292533278465271,0.292533278465271,increases_risk,31.0
8481,8482,recent_enquiries_12m,5,-0.20443794131278992,0.20443794131278992,decreases_risk,0.0
8481,8482,active_loans,6,0.19448818266391754,0.19448818266391754,increases_risk,1
8481,8482,secured_loans,7,0.13828633725643158,0.13828633725643158,increases_risk,0
8481,8482,active_loan_ratio,8,-0.06632480025291443,0.06632480025291443,decreases_risk,1.0
8481,8482,num_times_60p_dpd,9,-0.058235783129930496,0.058235783129930496,decreases_risk,0
8481,8482,monthly_income_inr,10,0.02925245836377144,0.02925245836377144,increases_risk,22000
33234,33235,delinquency_score,1,-0.7617496252059937,0.7617496252059937,decreases_risk,0
33234,33235,recent_enquiries_6m,2,-0.6000598669052124,0.6000598669052124,decreases_risk,1.0
33234,33235,active_loan_ratio,3,0.3289007842540741,0.3289007842540741,increases_risk,0.0
33234,33235,active_loans,4,0.1771688610315323,0.1771688610315323,increases_risk,0
33234,33235,total_enquiries,5,0.14210543036460876,0.14210543036460876,increases_risk,1.0
33234,33235,loan_type_diversity,6,-0.12317837029695511,0.12317837029695511,decreases_risk,0
33234,33235,credit_history_months,7,-0.08036390691995621,0.08036390691995621,decreases_risk,48.0
33234,33235,num_times_delinquent,8,-0.07901225984096527,0.07901225984096527,decreases_risk,0
33234,33235,gender,9,0.06093263579532504,0.06093263579532504,increases_risk,F
33234,33235,monthly_income_inr,10,-0.051847245544195175,0.051847245544195175,decreases_risk,14000
6548,6549,recent_enquiries_6m,1,-1.907197117805481,1.907197117805481,decreases_risk,0.0
6548,6549,delinquency_score,2,-0.8043918013572693,0.8043918013572693,decreases_risk,0
6548,6549,recent_enquiries_12m,3,-0.13417355716228485,0.13417355716228485,decreases_risk,1.0
6548,6549,gold_loans,4,-0.1296660155057907,0.1296660155057907,decreases_risk,2
6548,6549,active_loan_ratio,5,-0.10350190103054047,0.10350190103054047,decreases_risk,1.0
6548,6549,num_times_delinquent,6,-0.10165376216173172,0.10165376216173172,decreases_risk,0
6548,6549,active_loans,7,-0.0751991793513298,0.0751991793513298,decreases_risk,3
6548,6549,num_times_60p_dpd,8,-0.07330914586782455,0.07330914586782455,decreases_risk,0
6548,6549,credit_history_months,9,-0.06916812807321548,0.06916812807321548,decreases_risk,8.0
6548,6549,missed_payment_ratio,10,-0.04258468747138977,0.04258468747138977,decreases_risk,0.0
